gene_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
BC005624,1290,1663,1427,1089,1125,1021,1137,1098,1281,803,1743,1579
Ddrgk1,2379,2819,2341,2104,2133,1748,1974,1600,1614,1197,2842,2730
Spata2,630,762,731,615,638,594,603,637,807,572,1160,811
Mir1954,0,0,0,0,0,0,0,0,0,0,0,0
Mir1955,0,0,0,0,0,1,1,0,0,1,0,0
Mir1952,0,0,0,0,0,0,0,0,0,0,0,0
Mir1953,1,0,0,0,0,0,1,0,0,0,0,0
Mir1951,0,0,0,0,0,0,0,0,0,0,0,0
Ak8,5,2,3,0,1,3,3,2,2,1,7,3
Galk2,406,562,552,364,486,422,506,568,782,427,899,570
Ambra1,1572,1808,1615,1396,1372,1239,1352,1316,1402,1103,2300,1895
Insm1,0,0,0,0,0,0,0,0,1,1,0,1
A530058N18Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lzts3,886,872,801,658,725,675,687,534,589,377,945,934
Ddx27,893,960,894,727,801,672,821,918,1101,710,1609,956
C130021I20Rik,0,0,0,6,0,0,0,0,0,0,4,0
Mrps5,626,813,652,493,544,506,539,643,809,515,1141,716
